,filepath,title,quarterlength,measures,parts,offsets
183,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv284.mxl,,60.0,17,4,0.0
184,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv285.mxl,,48.0,15,4,0.0
185,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv286.mxl,,24.0,8,4,0.0
186,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv287.mxl,,48.0,15,4,0.0
187,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv288.mxl,,48.0,13,4,0.0
188,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv289.mxl,,48.0,13,4,0.0
189,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv29.8.mxl,,108.0,41,8,0.0
190,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv290.mxl,,32.0,10,4,0.0
191,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv291.mxl,,44.0,12,4,0.0
192,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv292.mxl,,56.0,14,4,0.0
193,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv293.mxl,,32.0,10,4,0.0
194,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv294.mxl,,64.0,18,4,0.0
195,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv295.mxl,,48.0,17,4,0.0
196,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv296.mxl,,57.0,17,4,0.0
197,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv297.mxl,,45.0,14,4,0.0
198,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv298.mxl,,37.0,10,4,0.0
199,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv299.mxl,,48.0,19,4,0.0
200,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv3.6.mxl,,32.0,10,4,0.0
201,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv30.6.mxl,,56.0,14,4,0.0
202,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv300.mxl,,64.0,19,4,0.0
203,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv301.mxl,,56.0,14,4,0.0
204,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv302.mxl,,48.0,15,4,0.0
205,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv303.mxl,,44.0,14,4,0.0
206,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv304.mxl,,81.0,25,4,0.0
207,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv305.mxl,,52.0,16,4,0.0
208,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv306.mxl,,48.0,18,4,0.0
209,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv307.mxl,,40.0,12,4,0.0
210,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv308.mxl,,40.0,12,4,0.0
211,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv309.mxl,,52.0,15,4,0.0
212,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv31.9.mxl,,60.0,16,5,0.0
213,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv310.mxl,,40.0,10,4,0.0
214,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv311.mxl,,68.0,19,4,0.0
215,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv312.mxl,,64.0,20,4,0.0
216,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv313.mxl,,36.0,11,4,0.0
217,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv314.mxl,,40.0,12,4,0.0
218,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv315.mxl,,48.0,14,4,0.0
219,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv316.mxl,,40.0,12,4,0.0
220,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv317.mxl,,64.0,17,4,0.0
221,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv318.mxl,,52.0,13,4,0.0
222,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv319.mxl,,44.0,14,4,0.0
223,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv32.6.mxl,,52.0,13,4,0.0
224,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv320.mxl,,114.0,38,4,0.0
225,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv321.mxl,,48.0,16,4,0.0
226,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv322.mxl,,80.0,22,4,0.0
227,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv323.mxl,,44.0,11,4,0.0
228,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv324.mxl,,42.0,9,4,0.0
229,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv325.mxl,,68.0,18,4,0.0
230,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv326.mxl,,48.0,18,4,0.0
231,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv327.mxl,,48.0,18,4,0.0
232,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv328.mxl,,193.0,57,4,0.0
233,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv329.mxl,,56.0,14,4,0.0
234,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv33.6.mxl,,64.0,20,4,0.0
235,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv330.mxl,,36.0,9,4,0.0
236,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv331.mxl,,40.0,10,4,0.0
237,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv332.mxl,,32.0,10,4,0.0
238,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv333.mxl,,40.0,13,4,0.0
239,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv334.mxl,,44.0,14,4,0.0
240,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv335.mxl,,32.0,10,4,0.0
241,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv336.mxl,,32.0,10,4,0.0
242,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv337.mxl,,48.0,12,4,0.0
243,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv338.mxl,,40.0,13,4,0.0
244,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv339.mxl,,52.0,13,4,0.0
245,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv340.mxl,,76.0,23,4,0.0
246,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv341.mxl,,36.0,10,4,0.0
247,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv342.mxl,,72.0,24,4,0.0
248,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv343.mxl,,63.0,23,4,0.0
249,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv344.mxl,,72.0,24,4,0.0
250,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv345.mxl,,40.0,12,4,0.0
251,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv346.mxl,,61.0,18,4,0.0
252,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv347.mxl,,52.0,16,4,0.0
253,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv348.mxl,,64.0,18,4,0.0
254,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv349.mxl,,48.0,16,4,0.0
255,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv350.mxl,,72.0,20,4,0.0
256,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv351.mxl,,36.0,11,4,0.0
257,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv352.mxl,,48.0,12,4,0.0
258,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv353.mxl,,56.0,14,4,0.0
259,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv354.mxl,,48.0,12,4,0.0
260,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv355.mxl,,64.0,16,4,0.0
261,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv356.mxl,,60.0,20,4,0.0
262,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv357.mxl,,64.0,16,4,0.0
263,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv358.mxl,,52.0,13,4,0.0
264,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv359.mxl,,48.0,12,4,0.0
265,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv36.4-2.mxl,,56.0,16,4,0.0
266,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv36.8-2.mxl,,32.0,8,4,0.0
267,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv360.mxl,,48.0,12,4,0.0
268,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv361.mxl,,52.0,13,4,0.0
269,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv362.mxl,,106.0,32,4,0.0
270,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv363.mxl,,47.0,12,4,0.0
271,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv364.mxl,,44.0,12,4,0.0
272,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv365.mxl,,36.0,9,4,0.0
273,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv366.krn,"113. Ihr Gestirn', ihr hohen L\u3fte",48.0,16,4,0.0
274,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv366.mxl,,72.0,24,4,0.0
275,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv367.mxl,,48.0,14,4,0.0
276,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv368.mxl,,97.0,33,4,0.0
277,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv369.mxl,,48.0,15,4,0.0
278,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv37.6.mxl,,68.0,21,4,0.0
279,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv370.mxl,,32.0,10,4,0.0
280,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv371.mxl,,160.0,42,4,0.0
281,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv372.mxl,,62.0,17,4,0.0
282,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv373.mxl,,40.0,10,4,0.0
283,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv374.mxl,,80.0,23,4,0.0
284,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv375.mxl,,40.0,13,4,0.0
285,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv376.mxl,,40.0,12,4,0.0
286,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv377.mxl,,32.0,10,4,0.0
287,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv378.mxl,,64.0,19,4,0.0
288,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv379.mxl,,36.0,9,4,0.0
289,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv38.6.mxl,,52.0,13,4,0.0
290,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv380.mxl,,52.0,14,4,0.0
291,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv381.mxl,,60.0,15,4,0.0
292,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv382.mxl,,49.0,15,4,0.0
293,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv383.mxl,,108.0,30,4,0.0
294,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv384.mxl,,32.0,10,4,0.0
295,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv385.mxl,,56.0,15,4,0.0
296,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv386.mxl,,48.0,15,4,0.0
297,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv387.mxl,,32.0,10,4,0.0
298,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv388.mxl,,40.0,13,4,0.0
299,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv389.mxl,,76.0,21,4,0.0
300,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv39.7.mxl,,52.0,13,4,0.0
301,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv390.mxl,,108.0,41,4,0.0
302,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv391.mxl,,54.0,18,4,0.0
303,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv392.mxl,,48.0,15,4,0.0
304,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv393.mxl,,49.0,15,4,0.0
305,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv394.mxl,,48.0,15,4,0.0
306,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv395.mxl,,48.0,15,4,0.0
307,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv396.mxl,,32.0,10,4,0.0
308,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv397.mxl,,52.0,13,4,0.0
309,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv398.mxl,,64.0,17,4,0.0
310,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv399.mxl,,48.0,15,4,0.0
311,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv4.8.mxl,,48.0,14,4,0.0
312,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv40.3.mxl,,44.0,12,4,0.0
313,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv40.6.mxl,,64.0,16,4,0.0
314,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv40.8.mxl,,80.0,20,4,0.0
315,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv400.mxl,,54.0,18,4,0.0
316,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv401.mxl,,44.0,14,4,0.0
317,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv402.mxl,,72.0,22,4,0.0
318,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv403.mxl,,63.0,22,4,0.0
319,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv404.mxl,,33.0,9,4,0.0
320,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv405.mxl,,44.0,11,4,0.0
321,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv406.mxl,,44.0,12,4,0.0
322,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv407.mxl,,108.0,27,4,0.0
323,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv408.mxl,,48.0,12,4,0.0
324,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv409.mxl,,44.0,12,4,0.0
325,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv41.6.mxl,,124.0,39,9,0.0
326,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv410.mxl,,56.0,15,4,0.0
327,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv411.mxl,,52.0,14,4,0.0
328,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv412.mxl,,60.0,16,4,0.0
329,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv413.mxl,,96.0,32,4,0.0
330,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv414.mxl,,40.0,12,4,0.0
331,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv415.mxl,,48.0,15,4,0.0
332,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv416.mxl,,48.0,15,4,0.0
333,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv417.mxl,,48.0,15,4,0.0
334,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv418.mxl,,64.0,19,4,0.0
335,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv419.mxl,,48.0,15,4,0.0
336,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv42.7.mxl,,108.0,31,4,0.0
337,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv420.mxl,,40.0,11,4,0.0
338,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv421.mxl,,40.0,11,4,0.0
339,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv422.mxl,,52.0,14,4,0.0
340,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv423.mxl,,64.0,16,4,0.0
341,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv424.mxl,,40.0,10,4,0.0
342,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv425.mxl,,101.0,30,4,0.0
343,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv426.mxl,,64.0,18,4,0.0
344,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv427.mxl,,56.0,17,4,0.0
345,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv428.mxl,,60.0,17,4,0.0
346,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv429.mxl,,60.0,19,4,0.0
347,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv43.11.mxl,,66.0,23,4,0.0
348,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv430.mxl,,60.0,19,4,0.0
349,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv431.mxl,,36.0,10,4,0.0
350,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv432.mxl,,32.0,10,4,0.0
351,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv433.mxl,,84.0,21,4,0.0
352,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv434.mxl,,36.0,11,4,0.0
353,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv435.mxl,,44.0,12,4,0.0
354,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv436.mxl,,56.0,16,4,0.0
355,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv437.mxl,,128.0,32,4,0.0
356,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv438.mxl,,32.0,10,4,0.0
357,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv44.7.mxl,,48.0,15,4,0.0
358,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv45.7.mxl,,64.0,19,4,0.0
359,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv46.6.mxl,,73.0,19,4,0.0
360,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv47.5.mxl,,40.0,13,4,0.0
361,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv48.3.mxl,,41.0,12,4,0.0
362,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv48.7.mxl,,44.0,14,4,0.0
363,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv5.7.mxl,,48.0,15,4,0.0
364,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv52.6.mxl,,56.0,15,6,0.0
365,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv55.5.mxl,,48.0,12,4,0.0
366,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv56.5.mxl,,52.0,13,4,0.0
367,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv57.8.mxl,,39.0,13,4,0.0
368,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv59.3.mxl,,112.0,29,7,0.0
369,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv6.6.mxl,,33.0,10,4,0.0
